Beds;Host Id;Year;Day;Month;Name;Neighbourhood;Number Of Reviews;Number of Records;Price;Property Type;Review Scores Rating;Room Type;Location
1;23193;2009;25;6;Bright, cozy den in 4 bedrm duplex.;Brooklyn;2;1;35;House;100;Private room;ZIP:11221
1;23435;2009;26;6;Spectacular River View Studio;Manhattan;48;1;185;Apartment;96;Entire home/apt;ZIP:10281
1;23577;2009;28;6;Williamsburg foodie inspired loft;Brooklyn;16;1;175;Loft;99;Entire home/apt;ZIP:11249
2;23727;2009;29;6;Prospect Heights quiet sunny nest;Brooklyn;6;1;150;Apartment;97;Entire home/apt;ZIP:11238
1;23633;2009;29;6;1;Brooklyn;0;1;120;Loft;None;Private room;ZIP:11206
1;23856;2009;30;6;Large modern 2-BR by McCaren Park;Brooklyn;2;1;150;Apartment;100;Entire home/apt;ZIP:11222
1;23843;2009;30;6;Lower East Side/EV 1 BR Charmer;Manhattan;15;1;175;Apartment;96;Entire home/apt;ZIP:10002
1;24000;2009;1;7;sunny EAST VILLAGE bdrm!;Manhattan;80;1;133;Apartment;91;Private room;ZIP:10009
4;24222;2009;2;7;3BR, 1.5 BA EV apt w/ backyard;Manhattan;9;1;375;Apartment;96;Entire home/apt;ZIP:10009
2;24901;2009;8;7;Beautiful Light Filled Abode;Brooklyn;0;1;150;Apartment;None;Entire home/apt;ZIP:11233
4;25183;2009;10;7;MAISON DES SIRENES 3;Brooklyn;23;1;150;Apartment;91;Entire home/apt;ZIP:11216
4;25183;2009;10;7;MAISON DES SIRENES1,book NOW;Brooklyn;36;1;150;Apartment;92;Entire home/apt;ZIP:11216
1;25100;2009;10;7;Room in UWS steps to Central Park!;Manhattan;4;1;180;Apartment;90;Private room;ZIP:10025
1;25533;2009;13;7;NYC Sofa bed St Marks East Village;Manhattan;30;1;59;Apartment;81;Private room;ZIP:10003
1;25533;2009;13;7;NYC Spacious Room East Village;Manhattan;14;1;99;Apartment;72;Private room;ZIP:10003
1;25533;2009;13;7;NYC Spacious Room East Village (2);Manhattan;3;1;99;Apartment;90;Private room;ZIP:10003
1;25551;2009;14;7;williamsburg design // with balcony;Brooklyn;20;1;199;Apartment;97;Entire home/apt;ZIP:11211
2;25632;2009;14;7;Sunny 2BD, 2 balconies;Brooklyn;1;1;300;Apartment;100;Entire home/apt;ZIP:11222
1;26210;2009;19;7;Private room in Harlem apartment;Manhattan;69;1;85;Apartment;94;Private room;ZIP:10039
2;26333;2009;20;7;Artist Loft in Midtown West;Manhattan;6;1;375;Apartment;96;Entire home/apt;ZIP:10018
2;26640;2009;21;7;Gorgeous Sunny Studio;Manhattan;38;1;135;Apartment;79;Entire home/apt;ZIP:10024
2;26640;2009;21;7;Stunning 1br in Historic Brownstone;Manhattan;26;1;289;Apartment;91;Entire home/apt;ZIP:10024
1;26640;2009;21;7;Sunny Studios in Historic Browstone;Manhattan;9;1;179;Apartment;80;Entire home/apt;ZIP:10024
1;27104;2009;23;7;Great Room in Manhattan - $60/Night;Manhattan;73;1;60;Apartment;93;Private room;ZIP:10030
1;27580;2009;26;7;Sunny South Williamsurg;Brooklyn;0;1;125;Apartment;None;Entire home/apt;ZIP:11211
1;27969;2009;27;7;Great room in spacious apartment!;Manhattan;0;1;98;Apartment;None;Private room;ZIP:10033
2;27848;2009;27;7;Bargain Space;Queens;24;1;55;House;88;Private room;ZIP:11434
2;27848;2009;27;7;CRASH PALACE;Queens;11;1;68;House;86;Private room;ZIP:11434
1;27848;2009;27;7;ENJOY THE CITY ON CHEAP;Queens;43;1;45;House;78;Private room;ZIP:11434
2;27848;2009;27;7;Excellent/Pvt Rm;Queens;47;1;55;House;88;Private room;ZIP:11434
2;27848;2009;27;7;Great Deal/Pvt Rm;Queens;58;1;55;House;88;Private room;ZIP:11434
2;27848;2009;27;7;Private Rm2/Shared Bath;Queens;53;1;55;House;93;Private room;ZIP:11434
2;27848;2009;27;7;Right on Budget;Queens;57;1;68;House;86;Private room;ZIP:11434
3;28267;2009;28;7;Cozy BK home with HUGE private yard;Brooklyn;23;1;195;Apartment;95;Entire home/apt;ZIP:11249
1;28217;2009;28;7;Large sunny bedroom in Greenpoint;Brooklyn;2;1;55;Apartment;100;Private room;ZIP:11222
2;28738;2009;30;7;Stunning 1 BR - Battery Park;Manhattan;0;1;300;Apartment;None;Entire home/apt;ZIP:10280
1;28702;2009;30;7;Share Loft  in the heart of nyc;Manhattan;2;1;120;Loft;90;Private room;ZIP:10018
1;29096;2009;1;8;Clean East Village Studio;Manhattan;165;1;135;Apartment;95;Entire home/apt;ZIP:10009
2;29642;2009;4;8;Cute apartment LES/Nolita/Chinatown;Manhattan;4;1;190;Apartment;90;Entire home/apt;ZIP:10002
1;29642;2009;4;8;Private room in cute central apt;Manhattan;9;1;95;Apartment;96;Private room;ZIP:10002
